demand_rank,block_id,area,lat,lon,individuals,tents,vehicles,demand,count_date,method,individual_multiplier,tent_multiplier,vehicle_multiplier
217,11TH_AV_J_ST,East Village,32.7088789,-117.1551036,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
218,11TH_AV_MARKET_ST,East Village,32.7109849,-117.155121,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
219,13TH_ST_C_ST,East Village,32.716262,-117.1533446,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
220,13TH_ST_E_ST,East Village,32.7141815,-117.1533283,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
221,13TH_ST_G_ST,East Village,32.7120729,-117.1533019,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
222,13TH_ST_ISLAND_AV,East Village,32.709928,-117.1532643,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
223,13TH_ST_J_ST,East Village,32.7088911,-117.1532612,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
224,13TH_ST_K_ST,East Village,32.7078497,-117.1532529,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
225,14TH_ST_BROADWAY,East Village,32.7152244,-117.1524186,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
226,14TH_ST_C_ST,East Village,32.7162585,-117.1523968,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
227,14TH_ST_F_ST,East Village,32.713136,-117.1523916,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
228,14TH_ST_G_ST,East Village,32.7120823,-117.1524006,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
229,14TH_ST_IMPERIAL_AV,East Village,32.705974,-117.1522731,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
230,14TH_ST_J_ST,East Village,32.7089017,-117.1523555,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
231,14TH_ST_MARKET_ST,East Village,32.7109961,-117.1523631,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
232,15TH_ST_BROADWAY,East Village,32.7152297,-117.151185,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
233,15TH_ST_C_ST,East Village,32.7162738,-117.1511898,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
234,15TH_ST_E_ST,East Village,32.7141905,-117.151182,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
235,15TH_ST_F_ST,East Village,32.7131435,-117.1511605,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
236,15TH_ST_G_ST,East Village,32.7120768,-117.1511433,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
237,16TH_ST_C_ST,East Village,32.7162861,-117.1499595,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
238,17TH_ST_BROADWAY,East Village,32.7152345,-117.1490277,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
239,19TH_ST_ISLAND_AV,Outside Perimeter,32.7099383,-117.147112,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
240,20TH_ST_BROADWAY,Outside Perimeter,32.7152465,-117.1462671,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
241,20TH_ST_B_ST,Outside Perimeter,32.7173415,-117.1463063,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
242,20TH_ST_C_ST,Outside Perimeter,32.7162925,-117.1462957,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
243,20TH_ST_E_ST,Outside Perimeter,32.7144027,-117.1462531,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
244,20TH_ST_G_ST,Outside Perimeter,32.7120933,-117.1463384,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
245,20TH_ST_ISLAND_AV,Outside Perimeter,32.7099376,-117.1462789,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
246,20TH_ST_J_ST,Outside Perimeter,32.7088883,-117.1462467,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
247,20TH_ST_K_ST,Outside Perimeter,32.7078318,-117.1462333,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
248,20TH_ST_L_ST,Outside Perimeter,32.7067948,-117.1462508,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
249,20TH_ST_MARKET_ST,Outside Perimeter,32.7109976,-117.1462566,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
250,21ST_ST_BROADWAY,Outside Perimeter,32.715256,-117.145393,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
251,21ST_ST_B_ST,Outside Perimeter,32.7173432,-117.1453824,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
252,21ST_ST_C_ST,Outside Perimeter,32.7162995,-117.1453954,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
253,21ST_ST_E_ST,Outside Perimeter,32.7142517,-117.1453569,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
254,21ST_ST_G_ST,Outside Perimeter,32.7120866,-117.145372,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
255,21ST_ST_ISLAND_AV,Outside Perimeter,32.709933,-117.1453325,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
256,21ST_ST_J_ST,Outside Perimeter,32.708886,-117.1453383,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
257,21ST_ST_K_ST,Outside Perimeter,32.7078362,-117.1453286,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
258,21ST_ST_L_ST,Outside Perimeter,32.7067905,-117.1453186,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
259,21ST_ST_MARKET_ST,Outside Perimeter,32.7109963,-117.1453454,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
260,22ND_ST_A_ST,Outside Perimeter,32.7184044,-117.1444777,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
261,22ND_ST_BROADWAY,Outside Perimeter,32.7142189,-117.1464733,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
262,22ND_ST_BROADWAY__2,Outside Perimeter,32.7152563,-117.144457,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
263,22ND_ST_B_ST,Outside Perimeter,32.7173511,-117.1444915,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
264,22ND_ST_C_ST,Outside Perimeter,32.7163093,-117.1444968,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
265,22ND_ST_E_ST,Outside Perimeter,32.7142172,-117.1444639,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
266,22ND_ST_G_ST,Outside Perimeter,32.7121,-117.1444422,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
267,22ND_ST_ISLAND_AV,Outside Perimeter,32.7099351,-117.1444268,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
268,22ND_ST_J_ST,Outside Perimeter,32.7088943,-117.1444379,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
269,22ND_ST_K_ST,Outside Perimeter,32.7078447,-117.1444354,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
270,22ND_ST_L_ST,Outside Perimeter,32.7067979,-117.1444237,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
271,22ND_ST_MARKET_ST,Outside Perimeter,32.7110048,-117.1444428,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
272,23RD_ST_A_ST,Outside Perimeter,32.7184017,-117.1436063,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
273,23RD_ST_BROADWAY,Outside Perimeter,32.7152689,-117.1435962,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
274,23RD_ST_B_ST,Outside Perimeter,32.7173586,-117.143609,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
275,23RD_ST_C_ST,Outside Perimeter,32.7163112,-117.1435955,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
276,23RD_ST_E_ST,Outside Perimeter,32.7142204,-117.1435701,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
277,24TH_ST_A_ST,Outside Perimeter,32.7184077,-117.1428447,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
278,24TH_ST_BROADWAY,Outside Perimeter,32.7152716,-117.1428252,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
279,24TH_ST_B_ST,Outside Perimeter,32.7173536,-117.142808,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
280,24TH_ST_C_ST,Outside Perimeter,32.7163136,-117.1428216,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
281,24TH_ST_E_ST,Outside Perimeter,32.7142245,-117.1428047,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
282,24TH_ST_G_ST,Outside Perimeter,32.7121115,-117.143221,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
283,24TH_ST_ISLAND_AV,Outside Perimeter,32.7094203,-117.1432088,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
284,24TH_ST_K_ST,Outside Perimeter,32.7078535,-117.143186,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
285,24TH_ST_L_ST,Outside Perimeter,32.7067995,-117.1431857,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
286,24TH_ST_MARKET_ST,Outside Perimeter,32.7110029,-117.1432164,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
287,25TH_ST_A_ST,Outside Perimeter,32.7184121,-117.1413938,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
288,25TH_ST_BROADWAY,Outside Perimeter,32.7152792,-117.1413767,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
289,25TH_ST_B_ST,Outside Perimeter,32.7173685,-117.1413911,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
290,25TH_ST_C_ST,Outside Perimeter,32.7163238,-117.1413835,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
291,25TH_ST_E_ST,Outside Perimeter,32.7142315,-117.14136,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
292,25TH_ST_G_ST,Outside Perimeter,32.7121302,-117.1413559,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
293,25TH_ST_ISLAND_AV,Outside Perimeter,32.7099983,-117.1413337,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
294,25TH_ST_J_ST,Outside Perimeter,32.7089464,-117.1413245,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
295,25TH_ST_K_ST,Outside Perimeter,32.7078924,-117.1413004,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
296,25TH_ST_L_ST,Outside Perimeter,32.7068596,-117.141315,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
297,25TH_ST_MARKET_ST,Outside Perimeter,32.7110545,-117.1413415,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
298,25TH_ST_RUSS_BL,Outside Perimeter,32.7191888,-117.1413996,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
299,25TH_ST_SR-94_EB,Outside Perimeter,32.7128513,-117.1421398,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
300,25TH_ST_SR-94_WB,Outside Perimeter,32.713132,-117.1419995,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
301,26TH_ST_A_ST,Outside Perimeter,32.7184275,-117.1392537,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
302,26TH_ST_BROADWAY,Outside Perimeter,32.7152924,-117.1392374,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
303,26TH_ST_B_ST,Outside Perimeter,32.7173841,-117.1392518,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
304,26TH_ST_C_ST,Outside Perimeter,32.7163365,-117.1392365,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
305,26TH_ST_E_ST,Outside Perimeter,32.7142467,-117.139224,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
306,26TH_ST_RUSS_BL,Outside Perimeter,32.7192067,-117.1392609,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
307,27TH_ST_A_ST,Outside Perimeter,32.7184356,-117.1371302,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
308,27TH_ST_BROADWAY,Outside Perimeter,32.7152998,-117.1371187,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
309,27TH_ST_B_ST,Outside Perimeter,32.7173875,-117.1371217,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
310,27TH_ST_C_ST,Outside Perimeter,32.7163436,-117.1371181,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
311,27TH_ST_E_ST,Outside Perimeter,32.7142269,-117.1370976,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
312,27TH_ST_RUSS_BL,Outside Perimeter,32.7192057,-117.1371398,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
313,28TH_ST_A_ST,Outside Perimeter,32.7184471,-117.1349655,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
314,28TH_ST_BROADWAY,Outside Perimeter,32.7154434,-117.1349019,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
315,28TH_ST_B_ST,Outside Perimeter,32.7173994,-117.1349323,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
316,28TH_ST_C_ST,Outside Perimeter,32.7163562,-117.1349234,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
317,28TH_ST_E_ST,Outside Perimeter,32.714698,-117.1349129,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
318,28TH_ST_RUSS_BL,Outside Perimeter,32.7192082,-117.134985,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
319,28TH_ST_TREAT_ST,Outside Perimeter,32.7138216,-117.1349019,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
320,BEARDSLEY_ST_LOGAN_AV,Outside Perimeter,32.7027984,-117.1471732,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
321,BEARDSLEY_ST_MAIN_ST,Outside Perimeter,32.7003924,-117.1495408,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
322,BEARDSLEY_ST_NATIONAL_AV,Outside Perimeter,32.7019938,-117.1479629,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
323,BEARDSLEY_ST_NEWTON_AV,Outside Perimeter,32.7011838,-117.148737,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
324,CALIFORNIA_ST_W_BROADWAY,Columbia,32.715156,-117.1705741,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
325,CESAR_E_CHAVEZ_PY_CROSBY_RD,Outside Perimeter,32.6968752,-117.1502346,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
326,CESAR_E_CHAVEZ_PY_HARBOR_DR,Outside Perimeter,32.6986333,-117.1499601,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
327,CESAR_E_CHAVEZ_PY_I-5_SB,Outside Perimeter,32.7035033,-117.1465217,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
328,CESAR_E_CHAVEZ_PY_LOGAN_AV,Outside Perimeter,32.7016458,-117.1455189,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
329,CESAR_E_CHAVEZ_PY_MAIN_ST,Outside Perimeter,32.6992415,-117.1478554,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
330,CESAR_E_CHAVEZ_PY_NATIONAL_AV,Outside Perimeter,32.7008405,-117.1462929,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
331,CESAR_E_CHAVEZ_PY_NEWTON_AV,Outside Perimeter,32.7000337,-117.1470844,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
332,DEWEY_ST_NATIONAL_AV,Outside Perimeter,32.6996946,-117.1446388,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
333,FRONT_ST_W_BROADWAY,City Center,32.7151745,-117.1651688,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
334,FRONT_ST_W_B_ST,City Center,32.7172606,-117.1651867,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
335,FRONT_ST_W_C_ST,City Center,32.7162289,-117.1651725,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
336,FRONT_ST_W_E_ST,City Center,32.7140973,-117.1651413,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
337,FRONT_ST_W_G_ST,Marina,32.7120098,-117.1651522,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
338,FRONT_ST_W_MARKET_ST__2,Marina,32.7109428,-117.1651491,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
339,I-5_SB_IMPERIAL_AV,East Village,32.7057081,-117.1479977,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
340,I-5_SB_ISLAND_AV,East Village,32.7099349,-117.1481553,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
341,I-5_SB_MARKET_ST,East Village,32.7109953,-117.1481409,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
342,I-5_SB_ON_RA_BROADWAY,East Village,32.7148705,-117.1481113,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
343,KETTNER_BL_W_ASH_ST,Columbia,32.7193394,-117.169622,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
344,KETTNER_BL_W_BROADWAY,Columbia,32.7151597,-117.169627,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
345,KETTNER_BL_W_E_ST,Marina,32.7140949,-117.1701433,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
346,KETTNER_BL_W_F_ST,Marina,32.7130513,-117.1701177,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
347,Map_Border_BAY_FRONT_ST,Outside Perimeter,32.6960745,-117.1484226,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
348,Map_Border_HARBOR_DR,Outside Perimeter,32.6961166,-117.1456167,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
349,Map_Border_IMPERIAL_AV,East Village,32.7058874,-117.1556292,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
350,Map_Border_Map_Border,Outside Perimeter,32.7015111,-117.1511516,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
351,NATIONAL_AV_IMPERIAL_AV,East Village,32.7057792,-117.1537259,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
352,NEWTON_AV_Map_Border,Outside Perimeter,32.7023431,-117.150364,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
353,NEWTON_AV_PARK_BL,Outside Perimeter,32.7039294,-117.1539584,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
354,PARK_BL_F_ST,East Village,32.7131312,-117.1542287,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
355,PARK_BL_G_ST,East Village,32.712061,-117.1541965,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
356,PARK_BL_ISLAND_AV,East Village,32.7099239,-117.1541784,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
357,PARK_BL_RUSS_BL,City Center,32.7191273,-117.1542576,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
358,SAMPSON_ST_I-5_SB,Outside Perimeter,32.6988236,-117.1399161,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
359,SAMPSON_ST_LOGAN_AV,Outside Perimeter,32.6981952,-117.1405284,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
360,SAMPSON_ST_MAIN_ST,Outside Perimeter,32.6958054,-117.1429084,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
361,SAMPSON_ST_NATIONAL_AV,Outside Perimeter,32.6973907,-117.1413145,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
362,SAMPSON_ST_NEWTON_AV,Outside Perimeter,32.6965799,-117.1420955,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
363,SIGSBEE_ST_LOGAN_AV,Outside Perimeter,32.7039621,-117.1488413,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
364,SIGSBEE_ST_NATIONAL_AV,Outside Perimeter,32.7031432,-117.1496165,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
365,SR-75_NB_HARBOR_DR,Outside Perimeter,32.6971758,-117.1471959,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
366,SR-75_NB_MAIN_ST,Outside Perimeter,32.698123,-117.1462473,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
367,SR-75_NB_NEWTON_AV,Outside Perimeter,32.6989139,-117.145457,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
368,STATE_ST_W_ASH_ST,Columbia,32.7193487,-117.1669349,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
369,STATE_ST_W_A_ST,Columbia,32.7182948,-117.1669419,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
370,STATE_ST_W_G_ST,Marina,32.7120126,-117.1669646,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
371,S_EVANS_ST_I-5_SB,Outside Perimeter,32.7005212,-117.1423963,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
372,S_EVANS_ST_LOGAN_AV,Outside Perimeter,32.6999216,-117.1430314,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
373,S_EVANS_ST_MAIN_ST,Outside Perimeter,32.6969947,-117.1446167,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
374,S_EVANS_ST_NATIONAL_AV,Outside Perimeter,32.6985376,-117.1429736,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
375,S_EVANS_ST_NEWTON_AV,Outside Perimeter,32.697763,-117.1438153,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
376,TONY_GWYNN_DR_K_ST,East Village,32.7078133,-117.1587374,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
377,TONY_GWYNN_DR_L_ST,East Village,32.7061663,-117.1583317,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
378,UNION_ST_W_BROADWAY,Columbia,32.715158,-117.1660291,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
379,UNION_ST_W_C_ST,Columbia,32.7162224,-117.1660445,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
380,UNION_ST_W_E_ST,Marina,32.7140915,-117.1660529,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
381,UNION_ST_W_F_ST,Marina,32.7130574,-117.1660505,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
382,UNION_ST_W_G_ST,Marina,32.7120019,-117.1660415,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
